9.617338985571501553e+01,9.728552085352711742e+01,9.847819633795886318e+01,9.487657549541160051e+01
9.701067689744166955e+01,9.814548984304325074e+01,9.789147364617457470e+01,9.590090500644474503e+01
9.703683465327931401e+01,9.805058288462097948e+01,9.708808582871051840e+01,9.616843749805320840e+01
9.675097260483867956e+01,9.758656217779110875e+01,9.695263993276304859e+01,9.686464921737443490e+01
9.561042359673047031e+01,9.651037712156542625e+01,9.668131200206751430e+01,9.664986125665313921e+01
9.427919489890237514e+01,9.559426787850941309e+01,9.683752299694067744e+01,9.587206459317675922e+01
9.258825356050451205e+01,9.443941268876284312e+01,9.664746968055446530e+01,9.492852341366977953e+01
9.097784064226136991e+01,9.304493992335596886e+01,9.697727075302486810e+01,9.312343018781608350e+01
8.929845052677238471e+01,9.245715708881550654e+01,9.668164308196354284e+01,9.174596727727400491e+01
8.750888460628523546e+01,9.175700200458636857e+01,9.617857586753534349e+01,8.864499792569053227e+01
8.528919617067570869e+01,8.792999814130362779e+01,9.474132147191792797e+01,8.394158040190826853e+01
8.034103003857123326e+01,8.320373529281555136e+01,9.383963600201906274e+01,7.755096838049433927e+01
7.559445013314743278e+01,7.711021720791663370e+01,9.085459457270393102e+01,7.227128078159333313e+01
7.331418922943028349e+01,7.549000564339560526e+01,8.971007980229045131e+01,6.958914395512340434e+01
7.366278812970631407e+01,7.528887720911279757e+01,8.990631783607577177e+01,7.035748197643627577e+01
7.524710831618804718e+01,7.677018577650078157e+01,9.146150391376804123e+01,7.308852438683877040e+01
7.631272770564409313e+01,7.860330286428622060e+01,9.367202084716234367e+01,7.463950816173796454e+01
7.450660533474426472e+01,7.870555500792094961e+01,9.489086093649122233e+01,7.295680688443000861e+01
7.163462298923496974e+01,7.739171013189969983e+01,9.535770911280938833e+01,6.966119594892542466e+01
7.031216449908647803e+01,7.646516318820803804e+01,9.616675872258385027e+01,6.747523838138860697e+01
6.946319590968776936e+01,7.569733344438334655e+01,9.672673743434310722e+01,6.483375987580062372e+01
6.773366022147290266e+01,7.507625394662915141e+01,9.659421037305642699e+01,6.163575813259036806e+01
6.858573865858372187e+01,7.509583406550119378e+01,9.685053060735478425e+01,6.179071573710152165e+01
6.571855409002021986e+01,7.219437892965018477e+01,9.465264777447865185e+01,5.950487281631071568e+01
6.451906703621345684e+01,7.064808777870196366e+01,9.250273039501504968e+01,5.838099036435031763e+01
6.352308900937499203e+01,6.944186301251956195e+01,9.093839560576955705e+01,5.796588397694647199e+01
6.518079429752148712e+01,7.271578373979579624e+01,9.056003895875208798e+01,5.983980141994088342e+01
7.089824149048716606e+01,7.629562497597855497e+01,9.221206277145877550e+01,6.692327782209666509e+01
8.146175625360027084e+01,8.488922470679838739e+01,9.517804359305718265e+01,7.700685791168893957e+01
